audio_filename,original_filepath,converted_file_path,recorded_word
a're.wav,xavante_renamed/a're.wav,data/converted_audio/xavante/sd1775566771_2.wav,a're
sanha.wav,xavante_renamed/sanha.wav,data/converted_audio/xavante/sd1775566772_1.wav,sanha
sanha.wav,xavante_renamed/sanha.wav,data/converted_audio/xavante/sd1775566772_2.wav,sanha
rowaze.wav,xavante_renamed/rowaze.wav,data/converted_audio/xavante/sd1775566773_1.wav,rowaze
rowaze.wav,xavante_renamed/rowaze.wav,data/converted_audio/xavante/sd1775566773_2.wav,rowaze
daNa're'to.wav,xavante_renamed/daNa're'to.wav,data/converted_audio/xavante/sd1775566774_1.wav,da na're'to
daNa're'to.wav,xavante_renamed/daNa're'to.wav,data/converted_audio/xavante/sd1775566774_2.wav,da na're'to
maweAimasisi.wav,xavante_renamed/maweAimasisi.wav,data/converted_audio/xavante/sd1775566775_1.wav,mawe aimasisi
maweAimasisi.wav,xavante_renamed/maweAimasisi.wav,data/converted_audio/xavante/sd1775566775_2.wav,mawe aimasisi
daNhamraze.wav,xavante_renamed/daNhamraze.wav,data/converted_audio/xavante/sd1775566776_1.wav,da nhamraze
daNhamraze.wav,xavante_renamed/daNhamraze.wav,data/converted_audio/xavante/sd1775566776_2.wav,da nhamraze
ẽne.wav,xavante_renamed/ẽne.wav,data/converted_audio/xavante/sd1775566777_1.wav,ẽne
ẽne.wav,xavante_renamed/ẽne.wav,data/converted_audio/xavante/sd1775566777_2.wav,ẽne
paranhipo.wav,xavante_renamed/paranhipo.wav,data/converted_audio/xavante/sd1775566778_1.wav,paranhipo
paranhipo.wav,xavante_renamed/paranhipo.wav,data/converted_audio/xavante/sd1775566778_2.wav,paranhipo
waha.wav,xavante_renamed/waha.wav,data/converted_audio/xavante/sd1775566779_1.wav,waha
waha.wav,xavante_renamed/waha.wav,data/converted_audio/xavante/sd1775566779_2.wav,waha
abazezere.wav,xavante_renamed/abazezere.wav,data/converted_audio/xavante/sd1775566780_1.wav,abazezere
abazezere.wav,xavante_renamed/abazezere.wav,data/converted_audio/xavante/sd1775566780_2.wav,abazezere
da'para.wav,xavante_renamed/da'para.wav,data/converted_audio/xavante/sd1775566781_1.wav,da'para
da'para.wav,xavante_renamed/da'para.wav,data/converted_audio/xavante/sd1775566781_2.wav,da'para
tirito.wav,xavante_renamed/tirito.wav,data/converted_audio/xavante/sd1775566782_1.wav,tirito
tirito.wav,xavante_renamed/tirito.wav,data/converted_audio/xavante/sd1775566782_2.wav,tirito
wesuira.wav,xavante_renamed/wesuira.wav,data/converted_audio/xavante/sd1775566783_1.wav,wesuira
wesuira.wav,xavante_renamed/wesuira.wav,data/converted_audio/xavante/sd1775566783_2.wav,wesuira
daHi.wav,xavante_renamed/daHi.wav,data/converted_audio/xavante/sd1775566784_1.wav,da hi
daHi.wav,xavante_renamed/daHi.wav,data/converted_audio/xavante/sd1775566784_2.wav,da hi
a'pa.wav,xavante_renamed/a'pa.wav,data/converted_audio/xavante/sd1775566785_1.wav,a'pa
a'pa.wav,xavante_renamed/a'pa.wav,data/converted_audio/xavante/sd1775566785_2.wav,a'pa
sasuru.wav,xavante_renamed/sasuru.wav,data/converted_audio/xavante/sd1775566786_1.wav,sasuru
sasuru.wav,xavante_renamed/sasuru.wav,data/converted_audio/xavante/sd1775566786_2.wav,sasuru
daZa'su.wav,xavante_renamed/daZa'su.wav,data/converted_audio/xavante/sd1775566787_1.wav,da za'su
daZa'su.wav,xavante_renamed/daZa'su.wav,data/converted_audio/xavante/sd1775566787_2.wav,da za'su
dasa.wav,xavante_renamed/dasa.wav,data/converted_audio/xavante/sd1775566788_1.wav,dasa
dasa.wav,xavante_renamed/dasa.wav,data/converted_audio/xavante/sd1775566788_2.wav,dasa
toibeParipsi.wav,xavante_renamed/toibeParipsi.wav,data/converted_audio/xavante/sd1775566789_1.wav,toibe paripsi
toibeParipsi.wav,xavante_renamed/toibeParipsi.wav,data/converted_audio/xavante/sd1775566789_2.wav,toibe paripsi
uze.wav,xavante_renamed/uze.wav,data/converted_audio/xavante/sd1775566790_1.wav,uze
uze.wav,xavante_renamed/uze.wav,data/converted_audio/xavante/sd1775566790_2.wav,uze
robZapru.wav,xavante_renamed/robZapru.wav,data/converted_audio/xavante/sd1775566791_1.wav,rob zapru
robZapru.wav,xavante_renamed/robZapru.wav,data/converted_audio/xavante/sd1775566791_2.wav,rob zapru
amiro.wav,xavante_renamed/amiro.wav,data/converted_audio/xavante/sd1775566792_1.wav,amiro
amiro.wav,xavante_renamed/amiro.wav,data/converted_audio/xavante/sd1775566792_2.wav,amiro
wasi.wav,xavante_renamed/wasi.wav,data/converted_audio/xavante/sd1775566793_1.wav,wasi
wasi.wav,xavante_renamed/wasi.wav,data/converted_audio/xavante/sd1775566793_2.wav,wasi
daPẽ.wav,xavante_renamed/daPẽ.wav,data/converted_audio/xavante/sd1775566794_1.wav,da pẽ
daPẽ.wav,xavante_renamed/daPẽ.wav,data/converted_audio/xavante/sd1775566794_2.wav,da pẽ
paihi.wav,xavante_renamed/paihi.wav,data/converted_audio/xavante/sd1775566795_1.wav,paihi
paihi.wav,xavante_renamed/paihi.wav,data/converted_audio/xavante/sd1775566795_2.wav,paihi
ĩsido'to.wav,xavante_renamed/ĩsido'to.wav,data/converted_audio/xavante/sd1775566796_1.wav,ĩsido'to
ĩsido'to.wav,xavante_renamed/ĩsido'to.wav,data/converted_audio/xavante/sd1775566796_2.wav,ĩsido'to
ĩ'raihe.wav,xavante_renamed/ĩ'raihe.wav,data/converted_audio/xavante/sd1775566797_1.wav,ĩ'raihe
ĩ'raihe.wav,xavante_renamed/ĩ'raihe.wav,data/converted_audio/xavante/sd1775566797_2.wav,ĩ'raihe
abazeihe.wav,xavante_renamed/abazeihe.wav,data/converted_audio/xavante/sd1775566798_1.wav,abazeihe
abazeihe.wav,xavante_renamed/abazeihe.wav,data/converted_audio/xavante/sd1775566798_2.wav,abazeihe
oro.wav,xavante_renamed/oro.wav,data/converted_audio/xavante/sd1775566799_1.wav,oro
oro.wav,xavante_renamed/oro.wav,data/converted_audio/xavante/sd1775566799_2.wav,oro
maApsaihu.wav,xavante_renamed/maApsaihu.wav,data/converted_audio/xavante/sd1775566800_1.wav,ma apsaihu
maApsaihu.wav,xavante_renamed/maApsaihu.wav,data/converted_audio/xavante/sd1775566800_2.wav,ma apsaihu
za'ẽne.wav,xavante_renamed/za'ẽne.wav,data/converted_audio/xavante/sd1775566801_1.wav,za'ẽne
za'ẽne.wav,xavante_renamed/za'ẽne.wav,data/converted_audio/xavante/sd1775566801_2.wav,za'ẽne
mazeptere.wav,xavante_renamed/mazeptere.wav,data/converted_audio/xavante/sd1775566802_1.wav,mazeptere
mazeptere.wav,xavante_renamed/mazeptere.wav,data/converted_audio/xavante/sd1775566802_2.wav,mazeptere
abazehei'ba.wav,xavante_renamed/abazehei'ba.wav,data/converted_audio/xavante/sd1775566803_1.wav,abazehei'ba
abazehei'ba.wav,xavante_renamed/abazehei'ba.wav,data/converted_audio/xavante/sd1775566803_2.wav,abazehei'ba
wede.wav,xavante_renamed/wede.wav,data/converted_audio/xavante/sd1775566804_1.wav,wede
wede.wav,xavante_renamed/wede.wav,data/converted_audio/xavante/sd1775566804_2.wav,wede
romisede.wav,xavante_renamed/romisede.wav,data/converted_audio/xavante/sd1775566805_1.wav,romisede
romisede.wav,xavante_renamed/romisede.wav,data/converted_audio/xavante/sd1775566805_2.wav,romisede
dawaihi.wav,xavante_renamed/dawaihi.wav,data/converted_audio/xavante/sd1775566806_1.wav,dawaihi
dawaihi.wav,xavante_renamed/dawaihi.wav,data/converted_audio/xavante/sd1775566806_2.wav,dawaihi
dasawanĩnĩze.wav,xavante_renamed/dasawanĩnĩze.wav,data/converted_audio/xavante/sd1775566807_1.wav,dasawanĩnĩze
dasawanĩnĩze.wav,xavante_renamed/dasawanĩnĩze.wav,data/converted_audio/xavante/sd1775566807_2.wav,dasawanĩnĩze
i'uwa.wav,xavante_renamed/i'uwa.wav,data/converted_audio/xavante/sd1775566808_1.wav,i'uwa
i'uwa.wav,xavante_renamed/i'uwa.wav,data/converted_audio/xavante/sd1775566808_2.wav,i'uwa
ubu.wav,xavante_renamed/ubu.wav,data/converted_audio/xavante/sd1775566809_1.wav,ubu
ubu.wav,xavante_renamed/ubu.wav,data/converted_audio/xavante/sd1775566809_2.wav,ubu
ĩwẽ.wav,xavante_renamed/ĩwẽ.wav,data/converted_audio/xavante/sd1775566810_1.wav,ĩwẽ
ĩwẽ.wav,xavante_renamed/ĩwẽ.wav,data/converted_audio/xavante/sd1775566810_2.wav,ĩwẽ
abaze.wav,xavante_renamed/abaze.wav,data/converted_audio/xavante/sd1775566811_1.wav,abaze
abaze.wav,xavante_renamed/abaze.wav,data/converted_audio/xavante/sd1775566811_2.wav,abaze
hedi.wav,xavante_renamed/hedi.wav,data/converted_audio/xavante/sd1775566812_1.wav,hedi
hedi.wav,xavante_renamed/hedi.wav,data/converted_audio/xavante/sd1775566812_2.wav,hedi
daSihe.wav,xavante_renamed/daSihe.wav,data/converted_audio/xavante/sd1775566813_1.wav,da sihe
daSihe.wav,xavante_renamed/daSihe.wav,data/converted_audio/xavante/sd1775566813_2.wav,da sihe
ĩsapo.wav,xavante_renamed/ĩsapo.wav,data/converted_audio/xavante/sd1775566814_1.wav,ĩsapo
ĩsapo.wav,xavante_renamed/ĩsapo.wav,data/converted_audio/xavante/sd1775566814_2.wav,ĩsapo
ĩheipe.wav,xavante_renamed/ĩheipe.wav,data/converted_audio/xavante/sd1775566815_1.wav,ĩheipe
ĩheipe.wav,xavante_renamed/ĩheipe.wav,data/converted_audio/xavante/sd1775566815_2.wav,ĩheipe
heiwa.wav,xavante_renamed/heiwa.wav,data/converted_audio/xavante/sd1775566816_1.wav,heiwa
heiwa.wav,xavante_renamed/heiwa.wav,data/converted_audio/xavante/sd1775566816_2.wav,heiwa
heiwidasima'wara.wav,xavante_renamed/heiwidasima'wara.wav,data/converted_audio/xavante/sd1775566817_1.wav,heiwidasima'wara
heiwidasima'wara.wav,xavante_renamed/heiwidasima'wara.wav,data/converted_audio/xavante/sd1775566817_2.wav,heiwidasima'wara
daPaihizere.wav,xavante_renamed/daPaihizere.wav,data/converted_audio/xavante/sd1775566818_1.wav,da paihizere
daPaihizere.wav,xavante_renamed/daPaihizere.wav,data/converted_audio/xavante/sd1775566818_2.wav,da paihizere
da'upse.wav,xavante_renamed/da'upse.wav,data/converted_audio/xavante/sd1775566819_1.wav,da'upse
da'upse.wav,xavante_renamed/da'upse.wav,data/converted_audio/xavante/sd1775566819_2.wav,da'upse
'rowi.wav,xavante_renamed/'rowi.wav,data/converted_audio/xavante/sd1775566820_1.wav,'rowi
'rowi.wav,xavante_renamed/'rowi.wav,data/converted_audio/xavante/sd1775566820_2.wav,'rowi
i'tede.wav,xavante_renamed/i'tede.wav,data/converted_audio/xavante/sd1775566821_1.wav,i'tede
i'tede.wav,xavante_renamed/i'tede.wav,data/converted_audio/xavante/sd1775566821_2.wav,i'tede
daIo'ri're.wav,xavante_renamed/daIo'ri're.wav,data/converted_audio/xavante/sd1775566822_1.wav,da io'ri're
daIo'ri're.wav,xavante_renamed/daIo'ri're.wav,data/converted_audio/xavante/sd1775566822_2.wav,da io'ri're
daNhise.wav,xavante_renamed/daNhise.wav,data/converted_audio/xavante/sd1775566823_1.wav,da nhise
daNhise.wav,xavante_renamed/daNhise.wav,data/converted_audio/xavante/sd1775566823_2.wav,da nhise
danhipi.wav,xavante_renamed/danhipi.wav,data/converted_audio/xavante/sd1775566824_1.wav,danhipi
danhipi.wav,xavante_renamed/danhipi.wav,data/converted_audio/xavante/sd1775566824_2.wav,danhipi
zata.wav,xavante_renamed/zata.wav,data/converted_audio/xavante/sd1775566825_1.wav,zata
zata.wav,xavante_renamed/zata.wav,data/converted_audio/xavante/sd1775566825_2.wav,zata
wa'u.wav,xavante_renamed/wa'u.wav,data/converted_audio/xavante/sd1775566826_1.wav,wa'u
wa'u.wav,xavante_renamed/wa'u.wav,data/converted_audio/xavante/sd1775566826_2.wav,wa'u
irĩsa'ẽne.wav,xavante_renamed/irĩsa'ẽne.wav,data/converted_audio/xavante/sd1775566827_1.wav,irĩsa'ẽne
irĩsa'ẽne.wav,xavante_renamed/irĩsa'ẽne.wav,data/converted_audio/xavante/sd1775566827_2.wav,irĩsa'ẽne
da'more.wav,xavante_renamed/da'more.wav,data/converted_audio/xavante/sd1775566828_1.wav,da'more
da'more.wav,xavante_renamed/da'more.wav,data/converted_audio/xavante/sd1775566828_2.wav,da'more
ĩwai'po.wav,xavante_renamed/ĩwai'po.wav,data/converted_audio/xavante/sd1775566829_1.wav,ĩwai'po
ĩwai'po.wav,xavante_renamed/ĩwai'po.wav,data/converted_audio/xavante/sd1775566829_2.wav,ĩwai'po
aNorĩWa'waHa.wav,xavante_renamed/aNorĩWa'waHa.wav,data/converted_audio/xavante/sd1775566830_1.wav,a norĩ wa'wa ha
aNorĩWa'waHa.wav,xavante_renamed/aNorĩWa'waHa.wav,data/converted_audio/xavante/sd1775566830_2.wav,a norĩ wa'wa ha
daNho'o.wav,xavante_renamed/daNho'o.wav,data/converted_audio/xavante/sd1775566831_1.wav,da nho'o
daNho'o.wav,xavante_renamed/daNho'o.wav,data/converted_audio/xavante/sd1775566831_2.wav,da nho'o
daWapru.wav,xavante_renamed/daWapru.wav,data/converted_audio/xavante/sd1775566832_1.wav,da wapru
daWapru.wav,xavante_renamed/daWapru.wav,data/converted_audio/xavante/sd1775566832_2.wav,da wapru
daZaihe.wav,xavante_renamed/daZaihe.wav,data/converted_audio/xavante/sd1775566833_1.wav,da zaihe
daZaihe.wav,xavante_renamed/daZaihe.wav,data/converted_audio/xavante/sd1775566833_2.wav,da zaihe
bededi.wav,xavante_renamed/bededi.wav,data/converted_audio/xavante/sd1775566834_1.wav,bededi
bededi.wav,xavante_renamed/bededi.wav,data/converted_audio/xavante/sd1775566834_2.wav,bededi
daNhamra.wav,xavante_renamed/daNhamra.wav,data/converted_audio/xavante/sd1775566835_1.wav,da nhamra
daNhamra.wav,xavante_renamed/daNhamra.wav,data/converted_audio/xavante/sd1775566835_2.wav,da nhamra
ĩtede.wav,xavante_renamed/ĩtede.wav,data/converted_audio/xavante/sd1775566836_1.wav,ĩtede
ĩtede.wav,xavante_renamed/ĩtede.wav,data/converted_audio/xavante/sd1775566836_2.wav,ĩtede
ori.wav,xavante_renamed/ori.wav,data/converted_audio/xavante/sd1775566837_1.wav,ori
ori.wav,xavante_renamed/ori.wav,data/converted_audio/xavante/sd1775566837_2.wav,ori
romanhariwasede.wav,xavante_renamed/romanhariwasede.wav,data/converted_audio/xavante/sd1775566838_1.wav,romanhariwasede
romanhariwasede.wav,xavante_renamed/romanhariwasede.wav,data/converted_audio/xavante/sd1775566838_2.wav,romanhariwasede
du'wa'a.wav,xavante_renamed/du'wa'a.wav,data/converted_audio/xavante/sd1775566839_1.wav,du'wa'a
du'wa'a.wav,xavante_renamed/du'wa'a.wav,data/converted_audio/xavante/sd1775566839_2.wav,du'wa'a
